gradivo,SIST_EN,DIN,R_m,R_e,E,V,a
Konstrukcijska jekla,S185,St 33,290,175,210000,0.3,0.000011
Konstrukcijska jekla,S235,St 37,340,225,210000,0.3,0.000011
Konstrukcijska jekla,S275,St 44,410,265,210000,0.3,0.000011
Konstrukcijska jekla,S355,St 52,490,345,210000,0.3,0.000011
Konstrukcijska jekla,E295,St 50,470,285,210000,0.3,0.000011
Konstrukcijska jekla,E335,St 60,570,325,210000,0.3,0.000011
Konstrukcijska jekla,E360,St 70,670,355,210000,0.3,0.000011
Jekla za poboljsanje,C35,C 35,600,370,210000,0.3,0.000011
Jekla za poboljsanje,C45,C 45,650,430,210000,0.3,0.000011
Jekla za poboljsanje,C55,C 55,750,500,210000,0.3,0.000011
Jekla za poboljsanje,30Mn5,30Mn5,830,580,210000,0.3,0.000011
Jekla za poboljsanje,25CrMo4,25CrMo4,850,600,210000,0.3,0.000011
Jekla za poboljsanje,34CrMo4,34CrMo4,950,730,210000,0.3,0.000011
Jekla za poboljsanje,42CrMo4,42CrMo4,1000,750,210000,0.3,0.000011
Jekla za poboljsanje,50CrMo4,50CrMo4,1050,780,210000,0.3,0.000011
Jekla za poboljsanje,36CrNiMo4,36CrNiMo4,1200,1000,210000,0.3,0.000011
Jekla za poboljsanje,30CrNiMo8,30CrNiMo8,1250,1050,210000,0.3,0.000011
Jekla za cementiranje,C15,C15,590,355,210000,0.3,0.000011
Jekla za cementiranje,15Cr3,20Cr4,600,400,210000,0.3,0.000011
Jekla za cementiranje,16MnCr5,16MnCr5,780,590,210000,0.3,0.000011
Jekla za cementiranje,20MnCr5,20MnCr5,980,685,210000,0.3,0.000011
Jekla za cementiranje,18CrNi8,18CrNi8,1100,750,210000,0.3,0.000011
Jekla za litine,GE200,GS-38,380,200,210000,0.3,0.000011
Jekla za litine,GE240,GS-45,450,230,210000,0.3,0.000011
Jekla za litine,GE260,GS-52,520,260,210000,0.3,0.000011
Jekla za litine,GE300,GS-60,600,300,210000,0.3,0.000011
Siva litina,100,GG-10,100,,88000,0.29,0.00001
Siva litina,150,GG-15,150,,95000,0.28,0.00001
Siva litina,200,GG-20,200,,105000,0.31,0.00001
Siva litina,250,GG-25,250,,115000,0.31,0.00001
Siva litina,300,GG-30,300,,125000,0.3,0.00001
Siva litina,350,GG-35,350,,135000,0.3,0.00001
Nodularna litina,400-15,GGG-40,400,250,167000,0.28,0.00001
Nodularna litina,500-7,GGG-50,500,320,170000,0.29,0.00001
Nodularna litina,600-3,GGG-60,600,380,177000,0.32,0.00001
Nodularna litina,700-2,GGG-70,700,440,180000,0.34,0.00001
Nodularna litina,800-2,GGG-80,800,500,180000,0.34,0.00001
Temprana litina,W 35-04,GTW-35,350,,,,0.00001
Temprana litina,W 40-05,GTW-40,400,220,175000,0.3,0.00001
Temprana litina,W 45-07,GTW-45,450,260,175000,0.3,0.00001
Temprana litina,B 35-10,GTS-35,350,200,175000,0.3,0.00001
Temprana litina,P 45-06,GTS-45,450,290,175000,0.3,0.00001
Temprana litina,P 55-04,GTS-55,550,340,175000,0.3,0.00001
Temprana litina,P 65-02,GTS-65,650,430,175000,0.3,0.00001
