d_min;d_max;bxh;v;t1;t2;r_max;r_min
6;8;2x2;2;1.2;1.0;0.16;0.08
8;10;3x3;3;1.8;1.4;0.16;0.08
10;12;4x4;4;2.5;1.8;0.25;0.16
12;17;5x5;5;3.0;2.3;0.25;0.16
17;22;6x6;6;3.5;2.8;0.25;0.16
22;30;8x7;8;4.0;3.3;0.40;0.25
30;38;10x8;10;5.0;3.3;0.40;0.25
38;44;12x8;12;5.0;3.3;0.40;0.25
44;50;14x9;14;5.5;3.8;0.40;0.25
50;58;16x10;16;6.0;4.3;0.60;0.40
58;65;18x11;18;7.0;4.4;0.60;0.40
65;75;20x12;20;7.5;4.9;0.60;0.40
75;85;22x14;22;9.0;5.4;0.60;0.40
85;95;25x14;25;9.0;5.4;0.60;0.40
95;110;28x16;28;10.0;6.4;1.00;0.70
110;130;32x18;32;11.0;7.4;1.00;0.70
130;150;36x20;36;12.0;8.4;1.00;0.70
150;170;40x22;40;13.0;9.4;1.60;1.20
170;200;45x25;45;15.0;10.4;1.60;1.20
200;230;50x28;50;17.0;11.4;1.60;1.20
230;260;56x32;56;20.0;12.4;1.60;1.20
260;290;63x32;63;20.0;12.4;2.50;2.00
290;330;70x36;70;22.0;14.4;2.50;2.00
330;380;80x40;80;25.0;15.4;2.50;2.00
380;440;90x45;90;28.0;17.4;2.50;2.00
440;500;100x50;100;31.0;19.5;2.50;2.00
