D_min;D_max;bxh;s;d_t1;d_t2;r_max;r_min
6;8;2x2;2;0.5;0.5;0.16;0.08
8;10;3x3;3;1.8;0.9;0.16;0.08
10;12;4x4;4;2.5;1.2;0.16;0.08
12;17;5x5;5;3.0;1.7;0.25;0.16
17;22;6x6;6;3.5;2.2;0.25;0.16
22;30;8x7;8;4.0;2.4;0.25;0.16
30;38;10x8;10;4.0;2.4;0.25;0.16
38;44;12x8;12;5.0;2.4;0.40;0.25
44;50;14x9;14;5.5;3.4;0.40;0.25
50;58;16x10;16;6.0;3.4;0.40;0.25
58;65;18x11;18;7.0;3.4;0.40;0.25
65;75;20x12;20;8.0;3.9;0.60;0.40
75;85;22x14;22;9.0;4.4;0.60;0.40
85;95;25x14;25;9.0;4.4;0.60;0.40
95;110;28x16;28;10.0;5.4;0.60;0.40
110;130;32x18;32;11.0;6.4;0.60;0.40
130;150;36x20;36;12.0;7.1;1.00;0.70
150;170;40x22;40;13.0;8.1;1.00;0.70
170;200;45x25;45;15.0;9.1;1.00;0.70
200;230;50x28;50;17.0;10.1;1.00;0.70
230;260;56x32;56;19.0;11.1;1.60;1.20
260;290;63x32;63;20.0;11.1;1.60;1.20
290;330;70x36;70;22.0;13.1;1.60;1.20
330;380;80x40;80;25.0;14.1;2.50;2.00
380;440;90x45;90;28.0;16.1;2.50;2.00
440;500;100x50;100;31.0;18.1;2.50;2.00
